"","Date","^GSPC","KL","RGLD","AU","SSRM","SA","GOOG","AMZN","AAPL","MSFT","INTC","SPG","CCI","PLD","PSA","EQR","EC","XOM","CVX","PTR","BP","TOT","JNJ","UNH","PFE","MRK","NVS","ABT"
"18","2012-06-01",1362.160034,10.85076,71.321449,33.287655,11.24,14.49,288.160797,228.350006,55.630413,25.83226,21.591982,114.660912,48.393242,26.506838,113.81823,44.552273,41.007511,68.325058,81.451103,107.713844,27.252089,30.612404,55.801338,52.204536,18.130278,33.222717,39.396946,26.213671
"19","2012-07-01",1379.319946,11.563585,68.847038,32.967766,12.79,14.66,314.43988,233.300003,58.179504,24.886454,20.822289,118.218765,51.049667,26.016573,118.3349,45.479286,42.06596,69.347076,84.601067,104.210678,26.821857,31.815071,57.172428,45.760086,18.950083,35.532578,41.313934,26.961821
"20","2012-08-01",1406.579956,13.49415,80.225815,30.92243,14.83,16.790001,340.331482,248.270004,63.369144,26.026489,20.117407,116.900261,52.353134,27.497252,115.641678,43.388851,42.521679,69.706406,86.592972,100.340515,28.273872,34.522301,55.693958,48.635197,18.808191,34.631599,41.588799,27.087168
"21","2012-09-01",1440.670044,11.801193,90.990013,34.089073,16.030001,19.4,374.812195,254.320007,65.506691,25.297836,18.520088,112.622856,52.881111,28.18932,110.565079,41.327171,43.315517,73.494614,90.710388,109.905449,28.800816,34.688477,57.433552,49.629398,19.769501,36.280712,43.174534,28.335316
"22","2012-10-01",1412.160034,9.761724,80.362495,33.048409,15.23,17.24,337.951935,232.889999,58.458187,24.260761,17.678267,112.919586,55.06731,27.80904,110.967468,41.475159,43.521324,73.269577,85.791985,115.521545,29.161175,35.379452,59.025467,50.360531,19.785416,37.056583,42.610718,27.070639
"23","2012-11-01",1416.180054,8.553887,73.721298,30.120934,13.5,15.12,346.928558,252.050003,57.472267,22.628651,15.994623,112.860252,55.702549,27.525188,112.576393,40.102528,42.73484,70.83448,82.251045,113.300629,28.392883,35.210979,58.116993,48.912659,19.904753,35.976479,43.731312,27.276001
"24","2012-12-01",1426.189941,5.791693,74.269005,30.568207,14.89,17.969999,351.404449,250.869995,53.974899,22.891724,17.026451,118.192154,59.530445,29.593227,116.03437,40.940556,43.85944,69.992157,84.883347,122.345978,28.6705,36.509632,58.942043,48.777779,20.13172,33.247787,44.612282,27.485813
"25","2013-01-01",1498.109985,5.9897,68.162079,27.303831,12.05,14.77,375.403351,265.5,46.197701,23.525938,17.373259,119.754692,58.177494,32.617661,124.17424,40.569592,46.527607,72.757874,90.385757,121.001503,30.653471,38.695316,62.154015,49.84753,21.897655,35.460659,47.797871,29.631287
"26","2013-02-01",1514.680054,6.059002,59.975239,23.620443,10.21,12.45,398.011322,264.269989,44.768639,23.825905,17.24114,118.76783,57.5835,31.832888,121.980034,40.313225,42.30117,72.418228,91.955635,116.559669,27.816721,35.651867,63.995434,48.25848,22.161922,35.034317,47.783772,29.675299
"27","2013-03-01",1569.189941,5.326378,64.9991,22.948078,10.55,13.8,394.528961,266.48999,46.794392,24.723122,18.227655,119.436539,57.451504,32.683064,122.87545,40.327881,40.074017,73.336632,93.992615,112.16893,29.527258,34.197861,69.101036,51.653271,23.368391,36.239574,52.116367,31.018995
"28","2013-04-01",1597.569946,3.346312,50.860912,19.044018,7.14,11.47,409.620819,253.809998,46.807072,28.603128,19.988661,134.132553,63.523331,34.538654,134.21933,42.836449,34.965538,72.425133,96.516075,108.799248,30.398771,36.380188,72.236992,54.319603,23.538435,38.906738,53.959908,32.424145
