Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,51.490002,53.060001,51.270000,52.320000,45.223759,29081900
2012-11-01,52.720001,55.880001,52.160000,55.459999,47.937881,51381200
2012-12-01,55.570000,57.209999,54.529999,55.849998,48.658806,30155600
2013-01-01,56.330002,58.900002,56.040001,58.500000,50.967598,27652900
2013-02-01,58.849998,60.790001,58.000000,60.500000,52.710087,37571600
2013-03-01,60.310001,64.750000,60.049999,64.430000,56.545364,29448600
2013-04-01,64.089996,66.839996,63.189999,65.040001,57.080711,33411100
2013-05-01,64.820000,66.480003,62.049999,62.049999,54.456604,43585900
2013-06-01,61.970001,65.120003,61.029999,64.230003,56.762482,38140000
2013-07-01,64.029999,67.980003,64.029999,66.239998,58.538792,28267800
2013-08-01,65.940002,66.239998,60.279999,60.709999,53.651714,40678700
2013-09-01,61.240002,61.430000,58.590000,58.730000,52.295765,36397700
2013-10-01,58.520000,64.400002,58.009998,63.250000,56.320572,39749500
2013-11-01,63.160000,64.919998,60.590000,60.639999,53.996510,44900300
2013-12-01,60.639999,62.310001,59.580002,61.070000,54.787670,33262800
2014-01-01,60.980000,61.360001,57.509998,57.980000,52.015541,37575800
2014-02-01,58.009998,61.259998,55.689999,60.689999,54.446762,49117500
2014-03-01,60.340000,62.750000,60.099998,62.709999,56.258968,35566100
2014-04-01,62.470001,67.489998,62.310001,66.830002,60.413189,56827100
2014-05-01,66.940002,69.000000,64.800003,68.980003,62.356758,41824500
2014-06-01,69.000000,69.500000,64.470001,65.699997,59.796066,35244300
2014-07-01,65.480003,66.730003,59.779999,59.830002,54.453564,39082900
2014-08-01,59.660000,65.379997,59.650002,64.970001,59.131676,38387900
2014-09-01,64.930000,65.379997,60.540001,61.599998,56.488518,34918200
2014-10-01,60.500000,64.820000,58.830002,63.959999,58.652691,45164800
2014-11-01,63.639999,66.639999,63.099998,66.250000,60.752663,32586600
2014-12-01,65.849998,67.440002,63.669998,65.440002,60.464710,36362400
2015-01-01,65.629997,69.889999,64.139999,65.580002,60.594063,40130100
2015-02-01,65.650002,67.320000,61.820000,64.480003,59.577705,40351400
2015-03-01,64.370003,66.379997,61.529999,65.949997,60.935936,56833900
2015-04-01,65.690002,67.000000,63.029999,63.330002,58.961262,35788500
2015-05-01,63.419998,65.639999,62.240002,62.770000,58.439888,33637700
2015-06-01,62.599998,63.880001,61.130001,62.700001,58.830555,39015200
2015-07-01,62.700001,66.459999,61.990002,66.169998,62.086407,24912200
2015-08-01,65.930000,69.849998,63.520000,66.279999,62.189613,45145900
2015-09-01,65.309998,69.589996,65.000000,66.550003,62.909927,39333400
2015-10-01,66.260002,72.339996,65.029999,70.519997,66.662766,37689000
2015-11-01,70.720001,70.860001,64.650002,68.769997,65.008484,46672500
2015-12-01,69.389999,73.680000,68.199997,72.269997,68.814407,37202500
2016-01-01,71.589996,73.889999,68.730003,73.440002,69.928474,36346400
2016-02-01,73.320000,76.239998,70.330002,74.019997,70.480736,52581600
2016-03-01,74.559998,77.050003,73.110001,76.550003,73.379555,38586700
2016-04-01,75.709999,78.099998,74.720001,76.809998,73.628777,33616000
2016-05-01,77.000000,77.940002,73.699997,74.370003,71.289833,45942800
2016-06-01,74.400002,82.570000,74.260002,81.650002,78.791298,52588400
2016-07-01,81.440002,87.160004,80.639999,82.709999,79.814178,65306000
2016-08-01,82.620003,84.279999,80.570000,82.209999,79.331696,37396100
2016-09-01,81.879997,82.779999,76.900002,77.470001,75.228325,33991400
2016-10-01,77.209999,77.419998,73.660004,75.129997,72.956032,37091000
2016-11-01,75.620003,78.370003,71.830002,72.000000,69.916603,35156300
2016-12-01,71.610001,74.489998,70.739998,73.709999,72.084419,35579800
2017-01-01,73.709999,73.730003,71.050003,72.709999,71.106476,32152600
2017-02-01,72.309998,76.690002,71.449997,74.070000,72.436478,42027700
2017-03-01,74.070000,75.309998,72.199997,72.610001,71.502914,54137200
2017-04-01,72.589996,73.379997,70.570000,71.000000,69.917458,38534500
2017-05-01,71.089996,73.430000,68.669998,71.599998,70.508308,59490200
2017-06-01,71.889999,74.279999,68.559998,69.459999,68.894264,43892300
2017-07-01,69.580002,69.580002,65.320000,68.000000,67.446152,44290000
2017-08-01,67.959999,71.650002,65.160004,65.459999,64.926842,49411200
2017-09-01,65.470001,69.220001,62.110001,62.369999,62.369999,61350000
2017-10-01,62.220001,63.930000,58.759998,62.529999,62.529999,81570200
