Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,22.040636,22.932861,21.166079,21.519434,20.471596,72741500
2012-11-01,21.484098,22.464664,20.680212,22.279152,21.194317,57966800
2012-12-01,22.393993,23.189047,21.934629,23.180212,22.051506,78934700
2013-01-01,23.701414,25.318022,23.471731,24.946997,23.732258,68658000
2013-02-01,25.061838,26.422262,24.399294,25.856890,24.597847,65336800
2013-03-01,25.600706,27.517668,25.565371,27.173145,25.850008,62609600
2013-04-01,27.358658,28.224382,26.413427,27.491165,26.224428,67559000
2013-05-01,27.526503,30.141342,27.385159,28.480566,27.168242,85531400
2013-06-01,28.604240,29.399294,26.908127,28.992933,27.657000,119094500
2013-07-01,29.100000,31.230000,28.500000,29.990000,28.608122,34071200
2013-08-01,30.340000,33.880001,30.209999,31.389999,29.943615,33851800
2013-09-01,32.380001,33.529999,31.480000,33.400002,31.860998,24483400
2013-10-01,33.380001,35.040001,31.980000,34.020000,32.579052,40144700
2013-11-01,34.000000,35.189999,32.470001,33.029999,31.630985,28837000
2013-12-01,32.950001,34.660000,31.180000,34.599998,33.134491,52479900
2014-01-01,34.580002,35.180000,30.020000,31.240000,29.916807,111954100
2014-02-01,31.230000,32.740002,30.230000,32.549999,31.171318,79555300
2014-03-01,32.459999,33.759998,30.500000,31.120001,29.801891,76703300
2014-04-01,31.250000,33.240002,30.280001,31.320000,30.106977,125632300
2014-05-01,31.250000,34.820000,31.090000,34.459999,33.125370,92215200
2014-06-01,34.549999,35.650002,32.580002,34.230000,32.904270,73945000
2014-07-01,34.200001,35.169998,31.660000,31.660000,30.433813,177923600
2014-08-01,31.700001,35.080002,31.000000,34.439999,33.106136,75112900
2014-09-01,34.400002,35.540001,32.680000,33.310001,32.019913,54745600
2014-10-01,33.150002,34.320000,30.110001,33.169998,31.999254,93943500
2014-11-01,33.049999,35.389999,31.410000,35.360001,34.111958,67838500
2014-12-01,35.299999,37.830002,34.810001,36.889999,35.587952,100850700
2015-01-01,36.980000,37.160000,31.760000,31.850000,30.725843,64191800
2015-02-01,31.889999,34.570000,31.500000,34.040001,32.838547,64324300
2015-03-01,33.730000,34.810001,32.610001,32.880001,31.719492,54500900
2015-04-01,32.900002,34.310001,32.310001,33.349998,32.317169,51333300
2015-05-01,33.320000,34.560001,31.809999,33.439999,32.404385,91680600
2015-06-01,33.619999,33.700001,31.770000,32.220001,31.222168,101410800
2015-07-01,32.480000,33.660000,31.670000,33.520000,32.481903,60721400
2015-08-01,33.400002,33.650002,22.850000,27.660000,26.803389,138965600
2015-09-01,27.049999,27.969999,25.370001,27.070000,26.231657,185145900
2015-10-01,27.180000,30.950001,26.840000,30.879999,30.089663,85831300
2015-11-01,31.090000,31.580000,28.459999,29.950001,29.183466,81549900
2015-12-01,29.930000,30.280001,27.070000,27.230000,26.533079,91655600
2016-01-01,26.590000,27.290001,25.030001,27.100000,26.406406,99341600
2016-02-01,26.820000,27.620001,22.650000,27.160000,26.464870,80319200
2016-03-01,27.430000,28.629999,27.309999,28.200001,27.478254,69775500
2016-04-01,28.059999,31.160000,27.969999,30.120001,29.507246,70212600
2016-05-01,30.120001,30.309999,28.030001,29.240000,28.645147,55554200
2016-06-01,29.260000,29.889999,26.150000,27.250000,26.695633,57762500
2016-07-01,27.240000,28.879999,26.420000,27.030001,26.480110,45663800
2016-08-01,27.059999,27.469999,24.770000,24.850000,24.344456,68123600
2016-09-01,24.799999,25.080000,23.879999,24.740000,24.236692,100912900
2016-10-01,24.690001,26.610001,24.410000,26.389999,26.047510,66574300
2016-11-01,26.410000,28.440001,25.700001,28.059999,27.695839,94804800
2016-12-01,28.010000,29.629999,25.940001,27.250000,26.896351,94591300
2017-01-01,27.740000,31.080000,27.540001,31.010000,30.607553,47777200
2017-02-01,31.030001,31.299999,29.260000,29.350000,28.969097,53809000
2017-03-01,29.510000,31.920000,29.490000,31.780001,31.367561,55649000
2017-04-01,31.770000,31.940001,29.639999,29.860001,29.650620,45318300
2017-05-01,29.950001,29.950001,26.469999,26.900000,26.711374,72533000
2017-06-01,26.889999,28.559999,26.420000,27.870001,27.674574,59457700
2017-07-01,28.100000,29.270000,26.719999,28.690001,28.488825,40001600
2017-08-01,28.809999,29.209999,26.559999,27.100000,26.909973,48553300
2017-09-01,27.160000,27.309999,24.780001,25.790001,25.609159,62853300
2017-10-01,25.850000,26.940001,24.910000,25.450001,25.450001,52813100
