Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,5.490000,5.550000,3.360000,4.720000,4.720000,21842500
2012-11-01,4.700000,4.850000,4.080000,4.380000,4.380000,11707200
2012-12-01,4.420000,4.450000,3.890000,4.160000,4.160000,13902600
2013-01-01,4.270000,4.750000,3.910000,3.970000,3.970000,15122000
2013-02-01,4.000000,4.970000,3.980000,4.440000,4.440000,25323900
2013-03-01,4.550000,5.950000,1.660000,1.830000,1.830000,79664700
2013-04-01,1.850000,1.890000,1.490000,1.680000,1.680000,31353300
2013-05-01,1.680000,2.960000,1.550000,2.180000,2.180000,41093800
2013-06-01,2.260000,2.330000,1.800000,2.110000,2.110000,24101000
2013-07-01,2.220000,3.300000,2.070000,3.000000,3.000000,24079600
2013-08-01,3.020000,3.500000,2.750000,2.990000,2.990000,15528500
2013-09-01,3.060000,4.190000,2.940000,3.940000,3.940000,17154100
2013-10-01,3.920000,5.240000,3.340000,3.530000,3.530000,43160300
2013-11-01,3.560000,4.330000,3.050000,4.180000,4.180000,20078600
2013-12-01,4.190000,4.470000,3.650000,4.340000,4.340000,26578600
2014-01-01,4.340000,4.920000,4.030000,4.190000,4.190000,23685100
2014-02-01,4.180000,4.840000,3.750000,4.260000,4.260000,14900700
2014-03-01,4.190000,5.580000,4.060000,4.580000,4.580000,27023600
2014-04-01,4.790000,4.900000,3.090000,3.600000,3.600000,27782900
2014-05-01,3.580000,3.730000,2.870000,3.600000,3.600000,19181900
2014-06-01,3.650000,4.500000,3.410000,4.030000,4.030000,18752200
2014-07-01,4.080000,4.220000,3.030000,3.130000,3.130000,14150300
2014-08-01,3.150000,3.450000,2.980000,3.230000,3.230000,9800200
2014-09-01,3.230000,3.390000,2.620000,2.640000,2.640000,18394800
2014-10-01,2.650000,3.590000,2.310000,3.320000,3.320000,25930300
2014-11-01,3.300000,4.350000,3.030000,4.210000,4.210000,16295200
2014-12-01,4.170000,5.250000,3.420000,5.070000,5.070000,24014300
2015-01-01,5.100000,9.640000,4.870000,8.950000,8.950000,100022700
2015-02-01,9.130000,12.020000,8.050000,11.260000,11.260000,85142000
2015-03-01,11.530000,14.400000,10.450000,10.770000,10.770000,119100600
2015-04-01,10.700000,12.130000,8.630000,8.810000,8.810000,88216400
2015-05-01,8.910000,11.170000,8.810000,9.480000,9.480000,60074800
2015-06-01,9.570000,12.810000,9.190000,12.000000,12.000000,170787800
2015-07-01,12.120000,13.900000,10.280000,13.360000,13.360000,70442900
2015-08-01,13.310000,14.080000,7.070000,8.710000,8.710000,82915300
2015-09-01,8.520000,13.250000,8.420000,9.010000,9.010000,123493800
2015-10-01,9.000000,12.430000,8.660000,11.920000,11.920000,60977400
2015-11-01,11.430000,14.930000,11.350000,13.360000,13.360000,68796000
2015-12-01,13.130000,13.210000,7.810000,8.310000,8.310000,106791600
2016-01-01,8.020000,8.390000,4.660000,4.970000,4.970000,65137500
2016-02-01,5.000000,8.250000,4.560000,7.860000,7.860000,54280800
2016-03-01,8.080000,9.740000,6.600000,7.420000,7.420000,64335700
2016-04-01,7.340000,9.190000,7.220000,7.860000,7.860000,45292700
2016-05-01,7.870000,8.720000,6.470000,7.790000,7.790000,56367200
2016-06-01,7.740000,7.990000,5.110000,5.490000,5.490000,51326800
2016-07-01,5.430000,6.240000,4.450000,4.860000,4.860000,54050500
2016-08-01,4.890000,6.140000,4.550000,5.070000,5.070000,40835100
2016-09-01,5.180000,6.120000,4.890000,5.630000,5.630000,37694400
2016-10-01,5.580000,5.940000,4.840000,5.680000,5.680000,31975700
2016-11-01,5.680000,7.800000,5.140000,6.480000,6.480000,51474900
2016-12-01,6.530000,6.880000,5.260000,5.350000,5.350000,34543600
2017-01-01,5.430000,6.390000,5.310000,5.920000,5.920000,35931100
2017-02-01,5.940000,6.990000,5.800000,6.350000,6.350000,25964800
2017-03-01,6.380000,6.950000,5.680000,6.340000,6.340000,29255400
2017-04-01,6.500000,7.880000,6.030000,7.040000,7.040000,25340200
2017-05-01,7.000000,7.800000,5.560000,5.850000,5.850000,33464000
2017-06-01,6.090000,6.490000,5.260000,6.220000,6.220000,31012000
2017-07-01,6.180000,6.340000,5.510000,6.150000,6.150000,18485700
2017-08-01,5.910000,6.640000,4.940000,6.390000,6.390000,45412900
2017-09-01,6.470000,6.670000,5.860000,6.140000,6.140000,20596700
2017-10-01,6.210000,6.600000,4.400000,4.660000,4.660000,31709700
